,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
,437,akrnheq1r2ftz0ng,1850,,,#NULL!,#NULL!
,437,akrnheq1r2ftz0ng,1850,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,438,xzc9x1n0n142vpwu,1853,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,439,5bqb0c2gv948d39z,1854,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,440,15tgwzubztac4rfu,1859,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
,441,e3u6e8twbfp7d1g5,1866,,,#NULL!,#NULL!
